date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,year,month,month_name,day,season,aqi_category
2022-08-05,33.520833333333336,22.72083333333333,345.4583333333333,5.9125000000000005,4.770833333333333,62.5,0.34625,0.375,1.375,64.82608695652173,38.43478260869565,2022,8,August,Friday,Rainy / Wet,Moderate
2022-08-06,30.21666666666667,20.39583333333333,338.0,7.2375,4.191666666666666,52.875,0.2904166666666666,0.125,0.9375,72.70833333333333,50.833333333333336,2022,8,August,Saturday,Rainy / Wet,Moderate
2022-08-07,34.77916666666666,23.616666666666664,388.9583333333333,8.091666666666667,3.6666666666666665,53.625,0.34,0.2083333333333333,1.2875,73.625,52.333333333333336,2022,8,August,Sunday,Rainy / Wet,Moderate
2022-08-08,35.175000000000004,24.0625,408.2083333333333,8.441666666666666,4.3375,51.0,0.3666666666666667,0.25,1.14375,75.0,54.54166666666666,2022,8,August,Monday,Rainy / Wet,Moderate
2022-08-09,29.4875,20.1125,357.9166666666667,7.733333333333333,3.6208333333333336,49.375,0.3333333333333333,0.375,1.1,70.375,46.25,2022,8,August,Tuesday,Rainy / Wet,Moderate
2022-08-10,27.445833333333336,18.7375,322.5416666666667,6.854166666666667,3.4916666666666667,47.91666666666666,0.2983333333333333,0.125,0.9104166666666668,65.16666666666667,38.208333333333336,2022,8,August,Wednesday,Rainy / Wet,Moderate
2022-08-11,34.725,23.7875,400.9166666666667,8.495833333333334,3.4333333333333336,49.875,0.2708333333333333,0.125,0.6770833333333334,66.20833333333333,40.25,2022,8,August,Thursday,Rainy / Wet,Moderate
2022-08-12,36.825,25.241666666666664,540.9166666666666,13.104166666666666,4.054166666666666,49.91666666666666,0.3733333333333333,0.0833333333333333,0.6770833333333334,78.66666666666667,59.41666666666666,2022,8,August,Friday,Rainy / Wet,Moderate
2022-08-13,35.57083333333333,24.320833333333336,596.9166666666666,15.7625,3.6,41.41666666666666,0.4141666666666666,0.2083333333333333,0.6916666666666665,81.66666666666667,61.41666666666666,2022,8,August,Saturday,Rainy / Wet,Moderate
2022-08-14,26.85833333333333,17.666666666666668,356.9166666666667,8.450000000000001,2.225,52.91666666666666,0.4579166666666667,0.125,0.44375,65.66666666666667,39.91666666666666,2022,8,August,Sunday,Rainy / Wet,Moderate
2022-08-15,29.941666666666663,19.25,373.625,9.258333333333336,2.5375,56.458333333333336,0.5820833333333334,0.0,0.75,62.0,35.208333333333336,2022,8,August,Monday,Rainy / Wet,Moderate
2022-08-16,33.708333333333336,22.4,478.7083333333333,12.175,4.55,54.75,0.6545833333333333,0.0,1.4395833333333332,73.66666666666667,52.625,2022,8,August,Tuesday,Rainy / Wet,Moderate
2022-08-17,38.31666666666667,25.933333333333334,462.125,11.479166666666666,4.575,55.958333333333336,0.8179166666666666,0.5,1.1895833333333334,68.04166666666667,43.208333333333336,2022,8,August,Wednesday,Rainy / Wet,Moderate
2022-08-18,33.15416666666667,22.3125,402.875,9.479166666666666,4.029166666666667,52.708333333333336,0.7795833333333334,0.875,0.9416666666666668,80.125,60.208333333333336,2022,8,August,Thursday,Rainy / Wet,Moderate
2022-08-19,31.729166666666668,20.754166666666663,371.1666666666667,7.8625,3.341666666666667,58.708333333333336,0.4916666666666667,0.375,1.3541666666666667,69.75,45.04166666666666,2022,8,August,Friday,Rainy / Wet,Moderate
2022-08-20,31.5,20.941666666666663,420.75,9.533333333333331,4.175,58.66666666666666,0.6666666666666666,0.5,1.4208333333333334,71.54166666666667,48.375,2022,8,August,Saturday,Rainy / Wet,Moderate
2022-08-21,35.358333333333334,24.066666666666663,536.375,13.491666666666667,4.291666666666667,57.16666666666666,0.64125,0.625,1.1166666666666667,68.58333333333333,43.125,2022,8,August,Sunday,Rainy / Wet,Moderate
2022-08-22,34.854166666666664,23.441666666666663,400.4583333333333,9.4,3.0375,50.083333333333336,0.5629166666666666,1.125,0.7625000000000001,74.375,53.833333333333336,2022,8,August,Monday,Rainy / Wet,Moderate
2022-08-23,33.487500000000004,21.929166666666664,344.0,7.670833333333333,2.5708333333333333,53.458333333333336,0.50375,1.25,1.0833333333333333,74.41666666666667,54.0,2022,8,August,Tuesday,Rainy / Wet,Moderate
2022-08-24,38.40833333333333,25.79583333333333,465.8333333333333,12.354166666666666,4.166666666666667,50.25,0.59875,0.75,1.2354166666666666,71.83333333333333,49.16666666666666,2022,8,August,Wednesday,Rainy / Wet,Moderate
